source,status,outcome,rc,elapsed_s,first_error
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t001_scalar_and_dtype.py,PASS,pass,0,1.252347,
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t002_zeros_ones_full.py,FAIL,transpile_fail,1,0.207762,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='ones', ctx=Load()), args=[Tuple(elts=[Constant(value=2), Constant(value=3)], ctx=Load())], keywords=[keyword(arg='dtype', value=Attribute(value=Name(id='np', ctx=Load()), attr='int64', ctx=Load()))])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t003_arange_linspace.py,FAIL,transpile_fail,1,0.205471,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='linspace', ctx=Load()), args=[Constant(value=0.0), Constant(value=1.0), Constant(value=6)])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t004_reshape_ravel_flatten.py,FAIL,transpile_fail,1,0.198106,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='a', ctx=Load()), attr='ravel', ctx=Load()))"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t005_transpose_swapaxes.py,FAIL,transpile_fail,1,0.212156,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='a', ctx=Load()), attr='transpose', ctx=Load()), args=[Constant(value=2), Constant(value=1), Constant(value=0)])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t006_basic_slicing_1d.py,FAIL,transpile_fail,1,0.187251,"Transpile failed: unsupported expression: Slice(lower=Constant(value=2), upper=Constant(value=8), step=Constant(value=2))"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t007_basic_slicing_2d.py,FAIL,transpile_fail,1,0.161608,"Transpile failed: unsupported expression: Slice(lower=Constant(value=1), upper=Constant(value=3))"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t008_fancy_indexing.py,FAIL,compile_fail,1,0.435987,Build: FAIL (exit 1)
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t009_boolean_masking.py,FAIL,transpile_fail,1,0.175634,Transpile failed: <class 'ast.Mod'>
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t010_where_select.py,FAIL,compile_fail,1,0.420795,Build: FAIL (exit 1)
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t011_newaxis_expand_dims.py,FAIL,transpile_fail,1,0.209313,Transpile failed: unsupported expression: Slice()
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t012_broadcast_add_mul.py,FAIL,compile_fail,1,0.409483,Build: FAIL (exit 1)
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t013_ufuncs_exp_log_sqrt.py,FAIL,transpile_fail,1,0.168158,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='sqrt', ctx=Load()), args=[Name(id='z', ctx=Load())])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t014_abs_sign_clip.py,FAIL,transpile_fail,1,0.192700,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='sign', ctx=Load()), args=[Name(id='x', ctx=Load())])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t015_comparison_and_logical.py,FAIL,transpile_fail,1,0.194495,Transpile failed: <class 'ast.BitAnd'>
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t016_sum_mean_axis.py,FAIL,compile_fail,1,0.397516,Build: FAIL (exit 1)
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t017_min_max_argmin_argmax.py,FAIL,transpile_fail,1,0.190503,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='a', ctx=Load()), attr='min', ctx=Load()))"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t018_std_var_ddof.py,FAIL,transpile_fail,1,0.195783,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='x', ctx=Load()), attr='var', ctx=Load()), keywords=[keyword(arg='ddof', value=Constant(value=0))])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t019_cumsum_cumprod.py,FAIL,transpile_fail,1,0.203487,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='cumsum', ctx=Load()), args=[Name(id='x', ctx=Load())])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t020_diff_and_gradient.py,FAIL,transpile_fail,1,0.188122,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='diff', ctx=Load()), args=[Name(id='x', ctx=Load())])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t021_dot_and_matmul.py,FAIL,transpile_fail,1,0.180941,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='a', ctx=Load()), attr='dot', ctx=Load()), args=[Name(id='b', ctx=Load())])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t022_einsum_trace.py,FAIL,transpile_fail,1,0.196804,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='trace', ctx=Load()), args=[Name(id='a', ctx=Load())])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t023_outer_and_kron.py,FAIL,transpile_fail,1,0.190449,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='outer', ctx=Load()), args=[Name(id='x', ctx=Load()), Name(id='y', ctx=Load())])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t024_linalg_solve_det_inv.py,FAIL,transpile_fail,1,0.221816,"Transpile failed: unsupported call: Call(func=Attribute(value=Attribute(value=Name(id='np', ctx=Load()), attr='linalg', ctx=Load()), attr='det', ctx=Load()), args=[Name(id='a', ctx=Load())])"
